Company,Year,Issue,Description
ADANIENSOL,Mar 2015,High Debt,Debt/Equity > 5
ADANIENSOL,Mar 2015,Negative ROE,ROE below zero
ADANIGREEN,Mar 2017,Negative ROE,ROE below zero
ADANIGREEN,Mar 2018,High Debt,Debt/Equity > 5
ADANIGREEN,Mar 2018,Negative ROE,ROE below zero
ADANIGREEN,Mar 2019,High Debt,Debt/Equity > 5
ADANIGREEN,Mar 2019,Negative ROE,ROE below zero
ADANIGREEN,Mar 2020,High Debt,Debt/Equity > 5
ADANIGREEN,Mar 2020,Negative ROE,ROE below zero
ADANIGREEN,Mar 2021,High Debt,Debt/Equity > 5
ADANIGREEN,Mar 2022,High Debt,Debt/Equity > 5
ADANIGREEN,Mar 2023,High Debt,Debt/Equity > 5
ADANIGREEN,Mar 2024,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2013,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2013,Negative ROE,ROE below zero
ADANIPOWER,Mar 2014,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2014,Negative ROE,ROE below zero
ADANIPOWER,Mar 2015,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2015,Negative ROE,ROE below zero
ADANIPOWER,Mar 2016,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2017,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2017,Negative ROE,ROE below zero
ADANIPOWER,Mar 2018,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2018,Negative ROE,ROE below zero
ADANIPOWER,Mar 2019,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2019,Negative ROE,ROE below zero
ADANIPOWER,Mar 2020,High Debt,Debt/Equity > 5
ADANIPOWER,Mar 2020,Negative ROE,ROE below zero
AXISBANK,Mar 2013,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2013,High Debt,Debt/Equity > 5
AXISBANK,Mar 2014,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2014,High Debt,Debt/Equity > 5
AXISBANK,Mar 2015,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2015,High Debt,Debt/Equity > 5
AXISBANK,Mar 2016,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2016,High Debt,Debt/Equity > 5
AXISBANK,Mar 2017,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2017,High Debt,Debt/Equity > 5
AXISBANK,Mar 2018,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2018,High Debt,Debt/Equity > 5
AXISBANK,Mar 2019,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2019,High Debt,Debt/Equity > 5
AXISBANK,Mar 2020,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2020,High Debt,Debt/Equity > 5
AXISBANK,Mar 2021,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2021,High Debt,Debt/Equity > 5
AXISBANK,Mar 2022,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2022,High Debt,Debt/Equity > 5
AXISBANK,Mar 2023,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2023,High Debt,Debt/Equity > 5
AXISBANK,Mar 2024,Financial Sector,ROCE benchmark skipped
AXISBANK,Mar 2024,High Debt,Debt/Equity > 5
AXISBANK,TTM,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2013,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2014,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2015,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2016,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2017,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2018,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2019,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2020,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2021,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2022,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2023,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,Mar 2024,Financial Sector,ROCE benchmark skipped
BAJAJFINSV,TTM,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2013,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2014,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2015,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2016,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2017,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2018,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2019,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2020,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2021,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2022,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2023,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,Mar 2024,Financial Sector,ROCE benchmark skipped
BAJAJHLDNG,TTM,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2015,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2015,High Debt,Debt/Equity > 5
BAJFINANCE,Mar 2016,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2017,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2017,High Debt,Debt/Equity > 5
BAJFINANCE,Mar 2018,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2019,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2019,High Debt,Debt/Equity > 5
BAJFINANCE,Mar 2020,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2021,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2022,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2023,Financial Sector,ROCE benchmark skipped
BAJFINANCE,Mar 2024,Financial Sector,ROCE benchmark skipped
BAJFINANCE,TTM,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2013,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2013,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2014,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2014,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2015,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2015,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2016,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2016,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2016,Negative ROE,ROE below zero
BANKBARODA,Mar 2017,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2017,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2018,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2018,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2018,Negative ROE,ROE below zero
BANKBARODA,Mar 2019,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2019,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2020,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2020,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2021,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2021,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2022,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2022,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2023,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2023,High Debt,Debt/Equity > 5
BANKBARODA,Mar 2024,Financial Sector,ROCE benchmark skipped
BANKBARODA,Mar 2024,High Debt,Debt/Equity > 5
BANKBARODA,TTM,Financial Sector,ROCE benchmark skipped
BHARTIARTL,Mar 2020,Negative ROE,ROE below zero
BHARTIARTL,Mar 2021,Negative ROE,ROE below zero
BHEL,Mar 2016,Negative ROE,ROE below zero
BHEL,Mar 2020,Negative ROE,ROE below zero
BHEL,Mar 2021,Negative ROE,ROE below zero
CANBK,Mar 2013,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2013,High Debt,Debt/Equity > 5
CANBK,Mar 2014,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2014,High Debt,Debt/Equity > 5
CANBK,Mar 2015,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2015,High Debt,Debt/Equity > 5
CANBK,Mar 2016,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2016,High Debt,Debt/Equity > 5
CANBK,Mar 2016,Negative ROE,ROE below zero
CANBK,Mar 2017,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2017,High Debt,Debt/Equity > 5
CANBK,Mar 2018,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2018,High Debt,Debt/Equity > 5
CANBK,Mar 2018,Negative ROE,ROE below zero
CANBK,Mar 2019,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2019,High Debt,Debt/Equity > 5
CANBK,Mar 2020,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2020,High Debt,Debt/Equity > 5
CANBK,Mar 2020,Negative ROE,ROE below zero
CANBK,Mar 2021,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2021,High Debt,Debt/Equity > 5
CANBK,Mar 2022,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2022,High Debt,Debt/Equity > 5
CANBK,Mar 2023,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2023,High Debt,Debt/Equity > 5
CANBK,Mar 2024,Financial Sector,ROCE benchmark skipped
CANBK,Mar 2024,High Debt,Debt/Equity > 5
CANBK,TTM,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2013,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2013,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2014,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2014,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2015,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2015,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2016,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2016,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2017,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2017,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2018,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2018,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2019,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2019,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2020,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2020,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2021,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2021,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2022,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2022,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2023,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2023,High Debt,Debt/Equity > 5
CHOLAFIN,Mar 2024,Financial Sector,ROCE benchmark skipped
CHOLAFIN,Mar 2024,High Debt,Debt/Equity > 5
CHOLAFIN,TTM,Financial Sector,ROCE benchmark skipped
DLF,Mar 2020,Negative ROE,ROE below zero
